area_code,area_name,geography,period,indicator,household_language,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Frequency,Households,3390
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Frequency,Households,627
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Frequency,Households,138
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Frequency,Households,608
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Frequency,Households,2960
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Frequency,Households,55
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Frequency,Households,16
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Frequency,Households,40
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Frequency,Households,3174
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Frequency,Households,221
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Frequency,Households,67
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Frequency,Households,203
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Frequency,Households,2403
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Frequency,Households,404
