name,managed,contact,telephone,email,website,area_code,area_name,lon,lat
Davyhulme Park,One Trafford,David Sykes,01616726509,N/A,N/A,E08000009,Trafford,-2.352896,53.453785
Denzell Gardens and The Devisdale,One Trafford,Dave Rome,0161 672 6515,N/A,www.trafford.gov.uk,E08000009,Trafford,-2.371,53.382
Flixton Gardens,One Trafford,David Sykes,0161 672 6509,N/A,N/A,E08000009,Trafford,-2.383446,53.445963
Hullard Park,One Trafford,David Sykes,0161 672 6509,N/A,www.trafford.gov.uk,E08000009,Trafford,-2.268,53.461
John Leigh Park (Altrincham),One Trafford,David Rome,0161 6726515,N/A,www.trafford.gov.uk,E08000009,Trafford,-2.356046,53.390734
Lostock Park,One Trafford,David Sykes,07801 988393,N/A,http://friendsof.lostock.org.uk/,E08000009,Trafford,-2.330704,53.45664
Victoria Park (Trafford),One Trafford,David Sykes,0161 672 6509,N/A,www.trafford.gov.uk/parks,E08000009,Trafford,-2.311768,53.448678
Walkden Gardens,One Trafford,David Rome,0161 672 6515,N/A,www.walkdengardens.co.uk,E08000009,Trafford,-2.311,53.418
Walton Park (Sale),One Trafford,David Rome,0161 6726515,N/A,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/parks-and-open-spaces/parks-in-trafford/walton-park.aspx,E08000009,Trafford,-2.332633,53.41438
Woodheys Park (Broadheath),One Trafford,David Rome,0161 672 6515,N/A,www.trafford.gov.uk,E08000009,Trafford,-2.353887,53.409608
Worthington Park,One Trafford,David Rome,0161 672 6515,N/A,www.trafford.gov.uk,E08000009,Trafford,-2.312,53.423
