id,title,inscription,erected,number_of_subjects,lead_subject_name,lead_subject_born_in,lead_subject_died_in,lead_subject_type,lead_subject_wikipedia,main_photo,address,area_name,area_code,long,lat
39405,Culcheth Hall School blue plaque,Culcheth Hall  School  1891-2011  Founded by the  Lang sisters for the  promotion of girls'  education    Suspiciens ut bellis,NA,1,Culcheth Hall School,1891,2011,place,https://en.wikipedia.org/wiki/Culcheth_Hall_School,https://farm9.staticflickr.com/8826/17082237107_a5cdaa71f6_z.jpg,Ashley Road,Trafford,E08000009,-2.35273,53.38123
1975,Chapel Street Altrincham blue plaque,Chapel Street Altrincham. From just 60 houses 161 men volunteered in the Great War 1914-18. 29 were killed. Recognised and praised by King George V.,NA,1,Chapel Street Altrincham,NA,NA,place,https://en.wikipedia.org/wiki/Chapel_Street_Altrincham,https://farm4.staticflickr.com/3718/9453533702_fb7ef6b276_z.jpg,Chapel Street,Trafford,E08000009,-2.35239,53.38588
40644,Ronald Gow film cell plaque,Ronald Gow / Altrincham Grammar,1996,1,Ronald Gow,1897,1993,man,https://en.wikipedia.org/wiki/Ronald_Gow,NA,"Altrincham Grammar School For Boys, Marlborough Rd",Trafford,E08000009,-2.35123,53.37651
39404,"Market, Altrincham and George Grey blue plaque","Renovated in 1990 as part of  Altrincham Charter celebrations, the  Market has been held on this site since  the Earl of Stamford gave the land to  the town in 1879. Prior to this the market  had been held since the thirteenth  century at the old market place  in front of the Unicorn",NA,2,"Market, Altrincham",NA,NA,place,"https://en.wikipedia.org/wiki/Market,_Altrincham",https://farm5.staticflickr.com/4363/36409599801_5e36331016_z.jpg,Market Street,Trafford,E08000009,-2.35215,53.38747
39406,Basil Morrison blue plaque,Basil Morrison  1915-2012  Historian  Artist,NA,1,Basil Morrison,1915,2012,man,https://en.wikipedia.org/wiki/Basil_Morrison,https://farm5.staticflickr.com/4442/36546004345_505f55f2af_z.jpg,Lloyd Street,Trafford,E08000009,-2.35176,53.38437
30600,White plaque № 30600,"This sundial is in the style of one commissioned by King William III.  It represents Africa, one of the four continents known at the time.  The figure depicts a Moor, not a slave, and he has knelt here since before 1750",NA,0,NA,NA,NA,NA,NA,https://farm4.staticflickr.com/3125/13080307544_3aaa0867c9_z.jpg,Dunham Massey,Trafford,E08000009,-2.39967,53.38256
33102,Ronald Gow and Wendy Hiller blue plaque,"Ronald Gow dramatist lived here 1898-1910 pupil & master at Altrincham County High School For Boys. 1937, married actress Dame Wendy Hiller",NA,2,Ronald Gow,1897,1993,man,https://en.wikipedia.org/wiki/Ronald_Gow,https://farm5.staticflickr.com/4358/36500810526_1af933963e_z.jpg,"Barclays Bank, 63 Stamford New Road",Trafford,E08000009,-2.35111,53.38541
33104,George Massey blue plaque,"Near this site  George Massey, proprietor, manufactured  gas for the first time in Altrincham   to illuminate the Unicorn Hotel  1844",1991,1,George Massey,NA,NA,man,https://en.wikipedia.org/wiki/George_Massey,https://farm5.staticflickr.com/4414/36408513261_dca2e3e577_z.jpg,Old Market Place,Trafford,E08000009,-2.35043,53.38919
33101,Helen Allingham blue plaque,Helen M. E. Allingham 1848-1926 watercolour artist. Her family lived in the area 1849-1862. She married Irish poet W. Allingham 1874. Elected first woman member Royal Watercolour Society 1875,1991,1,Helen Allingham,1848,1926,woman,https://en.wikipedia.org/wiki/Helen_Allingham,https://farm5.staticflickr.com/4415/36149946140_8165a6f853_z.jpg,16 Market Street,Trafford,E08000009,-2.35138,53.38829
43672,Siddall bronze plaque,Siddall's Bridge  This bridge was built in 1765 when Washway Road was widened to form part of the Turnpike from Manchester to Altrincham  The bridge takes its name from the Siddall family of nearby Woodhey.  Re-opened following major refurbishment by Councilor A.K. Davies  Chairman of the Technical Services Committee  6th January 1995,1995,1,Siddall,NA,NA,man,https://en.wikipedia.org/wiki/Siddall,https://farm5.staticflickr.com/4354/36515637956_e54e6ed115_z.jpg,Washway Road,Trafford,E08000009,-2.34554,53.40791
